name,url
Sith Master,https://starwars.fandom.com//wiki/Sith_Master
Sith Master/Legends,https://starwars.fandom.com//wiki/Sith_Master/Legends
Adas,https://starwars.fandom.com//wiki/Adas
Amanoa,https://starwars.fandom.com//wiki/Amanoa
Darth Andeddu,https://starwars.fandom.com//wiki/Darth_Andeddu
Darth Andru,https://starwars.fandom.com//wiki/Darth_Andru
Darth Angral,https://starwars.fandom.com//wiki/Darth_Angral
Ardran,https://starwars.fandom.com//wiki/Ardran
Yuthura Ban,https://starwars.fandom.com//wiki/Yuthura_Ban
Darth Bane,https://starwars.fandom.com//wiki/Darth_Bane
Darth Bane/Legends,https://starwars.fandom.com//wiki/Darth_Bane/Legends
Darth Baras,https://starwars.fandom.com//wiki/Darth_Baras
Beldiss,https://starwars.fandom.com//wiki/Beldiss
Borthis,https://starwars.fandom.com//wiki/Borthis
Darth Caedus,https://starwars.fandom.com//wiki/Darth_Caedus
Darth Caldoth,https://starwars.fandom.com//wiki/Darth_Caldoth
Darth Caldoth's Master,https://starwars.fandom.com//wiki/Darth_Caldoth%27s_Master
Calypho,https://starwars.fandom.com//wiki/Calypho
Darth Chratis,https://starwars.fandom.com//wiki/Darth_Chratis
Darth Cognus,https://starwars.fandom.com//wiki/Darth_Cognus
Tari Darkspanner,https://starwars.fandom.com//wiki/Tari_Darkspanner
Darth Shaa,https://starwars.fandom.com//wiki/Darth_Shaa
Darth Decimus,https://starwars.fandom.com//wiki/Darth_Decimus
Finn (Sith),https://starwars.fandom.com//wiki/Finn_(Sith)
Darth Gean,https://starwars.fandom.com//wiki/Darth_Gean
Githany,https://starwars.fandom.com//wiki/Githany
Darth Gorgos,https://starwars.fandom.com//wiki/Darth_Gorgos
Grathan,https://starwars.fandom.com//wiki/Grathan
Dathka Graush,https://starwars.fandom.com//wiki/Dathka_Graush
Darth Gravid,https://starwars.fandom.com//wiki/Darth_Gravid
Darth Guile,https://starwars.fandom.com//wiki/Darth_Guile
Darth Hadra,https://starwars.fandom.com//wiki/Darth_Hadra
Hezzoran,https://starwars.fandom.com//wiki/Hezzoran
Darth Howl,https://starwars.fandom.com//wiki/Darth_Howl
Xat Hracken,https://starwars.fandom.com//wiki/Xat_Hracken
Darth Ikoral,https://starwars.fandom.com//wiki/Darth_Ikoral
Darth Jadus,https://starwars.fandom.com//wiki/Darth_Jadus
Skere Kaan,https://starwars.fandom.com//wiki/Skere_Kaan
Kas'im,https://starwars.fandom.com//wiki/Kas%27im
Thannor Keth,https://starwars.fandom.com//wiki/Thannor_Keth
Kherus,https://starwars.fandom.com//wiki/Kherus
Kopecz,https://starwars.fandom.com//wiki/Kopecz
Korek,https://starwars.fandom.com//wiki/Korek
Darth Krayt,https://starwars.fandom.com//wiki/Darth_Krayt
Kreia,https://starwars.fandom.com//wiki/Kreia
Ludo Kressh,https://starwars.fandom.com//wiki/Ludo_Kressh
Kaox Krul,https://starwars.fandom.com//wiki/Kaox_Krul
Exar Kun/Legends,https://starwars.fandom.com//wiki/Exar_Kun/Legends
Lumiya,https://starwars.fandom.com//wiki/Lumiya
Darth Malak,https://starwars.fandom.com//wiki/Darth_Malak
Darth Malgus,https://starwars.fandom.com//wiki/Darth_Malgus
Darth Marr,https://starwars.fandom.com//wiki/Darth_Marr
Darth Maul/Legends,https://starwars.fandom.com//wiki/Darth_Maul/Legends
Maul,https://starwars.fandom.com//wiki/Maul
Terrak Morrhage's Master,https://starwars.fandom.com//wiki/Terrak_Morrhage%27s_Master
Darth Mortis,https://starwars.fandom.com//wiki/Darth_Mortis
Ruku Myal,https://starwars.fandom.com//wiki/Ruku_Myal
Na'daz,https://starwars.fandom.com//wiki/Na%27daz
Freedon Nadd,https://starwars.fandom.com//wiki/Freedon_Nadd
Darth Nihilus,https://starwars.fandom.com//wiki/Darth_Nihilus
Darth Nox,https://starwars.fandom.com//wiki/Darth_Nox
Ommin/Legends,https://starwars.fandom.com//wiki/Ommin/Legends
Orilltha,https://starwars.fandom.com//wiki/Orilltha
Ajunta Pall,https://starwars.fandom.com//wiki/Ajunta_Pall
Palpatine/Legends,https://starwars.fandom.com//wiki/Palpatine/Legends
Darth Plagueis,https://starwars.fandom.com//wiki/Darth_Plagueis
Darth Plagueis/Legends,https://starwars.fandom.com//wiki/Darth_Plagueis/Legends
Lomi Plo,https://starwars.fandom.com//wiki/Lomi_Plo
Praven,https://starwars.fandom.com//wiki/Praven
Qordis,https://starwars.fandom.com//wiki/Qordis
Renning,https://starwars.fandom.com//wiki/Renning
Revan/Legends,https://starwars.fandom.com//wiki/Revan/Legends
Olaris Rhea,https://starwars.fandom.com//wiki/Olaris_Rhea
Darth Rivan,https://starwars.fandom.com//wiki/Darth_Rivan
Darth Ruyn,https://starwars.fandom.com//wiki/Darth_Ruyn
Naga Sadow,https://starwars.fandom.com//wiki/Naga_Sadow
Darth Scabrous,https://starwars.fandom.com//wiki/Darth_Scabrous
Shak'Weth,https://starwars.fandom.com//wiki/Shak%27Weth
Shenayag,https://starwars.fandom.com//wiki/Shenayag
Simus,https://starwars.fandom.com//wiki/Simus
Darth Skotia,https://starwars.fandom.com//wiki/Darth_Skotia
Anakin Skywalker,https://starwars.fandom.com//wiki/Anakin_Skywalker
Anakin Skywalker/Legends,https://starwars.fandom.com//wiki/Anakin_Skywalker/Legends
Spindrall,https://starwars.fandom.com//wiki/Spindrall
Spirit protector,https://starwars.fandom.com//wiki/Spirit_protector
Darth Talon,https://starwars.fandom.com//wiki/Darth_Talon
Darth Tenebrous,https://starwars.fandom.com//wiki/Darth_Tenebrous
Darth Tenebrous's Sith Master,https://starwars.fandom.com//wiki/Darth_Tenebrous%27s_Sith_Master
